x	y
0.5366724528	0.27203067
0.2198064022	0.06367420
0.5846865575	0.22355283
0.4681932613	0.15242099
0.6450167309	0.48654984
0.0379341621	0.27296635
0.5970014731	0.47545364
0.1173597145	0.49625173
0.5646162205	0.44148314
0.4094234073	0.23097709
0.4480021912	0.12165649
0.1362515440	0.14669549
0.0446271820	0.06358044
0.6522927403	0.15633842
0.0068537185	0.01872201
0.4043529785	0.16537530
0.6398373549	0.32686717
0.4981642242	0.36582900
0.5101134953	0.11058364
0.1768842183	0.01247026
0.4816470613	0.48370731
0.0138918714	0.32767677
0.5865117196	0.47914547
0.6457559601	0.21926313
0.2797991273	0.09395141
0.6099327038	0.03017390
0.3014932231	0.38390882
0.5001194442	0.49090578
0.1563734985	0.03846061
0.1113876762	0.05582891
0.6979932224	0.15535110
0.6570479104	0.33565429
0.4210527388	0.34237711
0.5915322359	0.28643924
0.6710411827	0.49030483
0.1878270414	0.36924235
0.6346325959	0.25603796
0.6594101212	0.35003483
0.2097249967	0.01886138
0.5041954173	0.28829040
0.5514060188	0.06098076
0.3911011350	0.18636315
0.0007618928	0.42909876
0.4967827481	0.17706578
0.1492580724	0.45977326
0.1402937985	0.18014143
0.2649401076	0.18243818
0.6798663499	0.43130795
0.0791554185	0.19271058
0.0627518367	0.44770122
